time, height, speed, acceleration, user_data
11.430166, 1.000000, 0.000002, 9.810000, 1.000000
11.440166, 1.000000, 0.000002, 9.810000, 1.000000
11.450167, 1.000000, 0.000002, 9.810000, 1.000000
11.460167, 1.000000, 0.000002, 9.810000, 1.000000
11.470167, 1.000000, 0.000002, 9.810000, 1.000000
11.480167, 1.000000, 0.000002, 9.810000, 1.000000
11.490168, 1.000000, 0.000002, 9.810000, 1.000000
11.500168, 1.000000, 0.000002, 9.810000, 1.000000
11.510168, 1.000000, 0.000002, 9.810000, 1.000000
11.520168, 1.000000, 0.000002, 9.810000, 1.000000
11.530169, 1.000000, 0.000002, 9.810000, 1.000000
11.540169, 1.000000, 0.000002, 9.810000, 1.000000
11.550169, 1.000000, 0.000002, 9.810000, 1.000000
11.560169, 1.000000, 0.000002, 9.810000, 1.000000
11.570169, 1.000000, 0.000002, 9.810000, 1.000000
11.580170, 1.000000, 0.000002, 9.810000, 1.000000
11.590170, 1.000000, 0.000002, 9.810000, 1.000000
11.600170, 1.000000, 0.000002, 9.810000, 1.000000
11.610170, 1.000000, 0.000002, 9.810000, 1.000000
11.620171, 1.000000, 0.000002, 9.810000, 1.000000
11.630171, 1.000000, 0.000002, 9.810000, 1.000000
11.640171, 1.000000, 0.000002, 9.810000, 1.000000
11.650171, 1.000000, 0.000002, 9.810000, 1.000000
11.660172, 1.000000, 0.000002, 9.810000, 1.000000
11.670172, 1.000000, 0.000002, 9.810000, 1.000000
11.680172, 1.000000, 0.000002, 9.810000, 1.000000
11.690172, 1.000000, 0.000002, 9.810000, 1.000000
11.700172, 1.000000, 0.000002, 9.810000, 1.000000
11.710173, 1.000000, 0.000002, 9.810000, 1.000000
11.720173, 1.000000, 0.000002, 9.810000, 1.000000
11.730173, 1.000000, 0.000002, 9.810000, 1.000000
11.740173, 1.000000, 0.000002, 9.810000, 1.000000
11.750174, 1.000000, 0.000002, 9.810000, 1.000000
11.760174, 1.000000, 0.000002, 9.810000, 1.000000
11.770174, 1.000000, 0.000002, 9.810000, 1.000000
11.780174, 1.000000, 0.000002, 9.810000, 1.000000
11.790174, 1.000000, 0.000002, 9.810000, 1.000000
11.800175, 1.000000, 0.000002, 9.810000, 1.000000
11.810175, 1.000000, 0.000002, 9.810000, 1.000000
11.820175, 1.000000, 0.000002, 9.810000, 1.000000
11.830175, 1.000000, 0.000002, 9.810000, 1.000000
11.840176, 1.000000, 0.000002, 9.810000, 1.000000
11.850176, 1.000000, 0.000002, 9.810000, 1.000000
11.860176, 1.000000, 0.000002, 9.810000, 1.000000
11.870176, 1.000000, 0.000002, 9.810000, 1.000000
11.880177, 1.000000, 0.000002, 9.810000, 1.000000
11.890177, 1.000000, 0.000002, 9.810000, 1.000000
11.900177, 1.000000, 0.000002, 9.810000, 1.000000
11.910177, 1.000000, 0.000002, 9.810000, 1.000000
11.920177, 1.000000, 0.000002, 9.810000, 1.000000
11.930178, 1.000000, 0.000002, 9.810000, 1.000000
11.940178, 1.000000, 0.000002, 9.810000, 1.000000
11.950178, 1.000000, 0.000002, 9.810000, 1.000000
11.960178, 1.000000, 0.000002, 9.810000, 1.000000
11.970179, 1.000000, 0.000002, 9.810000, 1.000000
11.980179, 1.000000, 0.000002, 9.810000, 1.000000
11.990179, 1.000000, 0.000002, 9.810000, 1.000000
12.000179, 1.000000, 0.000002, 9.810000, 1.000000
12.010180, 1.000000, 0.000002, 9.810000, 1.000000
12.020180, 1.000000, 0.000002, 9.810000, 1.000000
12.030180, 1.000000, 0.000002, 9.810000, 1.000000
12.040180, 1.000000, 0.000002, 9.810000, 1.000000
12.050180, 1.000000, 0.000002, 9.810000, 1.000000
12.060181, 1.000000, 0.000002, 9.810000, 1.000000
12.070181, 1.000000, 0.000002, 9.810000, 1.000000
12.080181, 1.000000, 0.000002, 9.810000, 1.000000
12.090181, 1.000000, 0.000002, 9.810000, 1.000000
12.100182, 1.000000, 0.000002, 9.810000, 1.000000
12.110182, 1.000000, 0.000002, 9.810000, 1.000000
12.120182, 1.000000, 0.000002, 9.810000, 1.000000
12.130182, 1.000000, 0.000002, 9.810000, 1.000000
12.140182, 1.000000, 0.000002, 9.810000, 1.000000
12.150183, 1.000000, 0.000002, 9.810000, 1.000000
12.160183, 1.000000, 0.000002, 9.810000, 1.000000
12.170183, 1.000000, 0.000002, 9.810000, 1.000000
12.180183, 1.000000, 0.000002, 9.810000, 1.000000
12.190184, 1.000000, 0.000002, 9.810000, 1.000000
12.200184, 1.000000, 0.000002, 9.810000, 1.000000
12.210184, 1.000000, 0.000002, 9.810000, 1.000000
12.220184, 1.000000, 0.000002, 9.810000, 1.000000
12.230185, 1.000000, 0.000002, 9.810000, 1.000000
12.240185, 1.000000, 0.000002, 9.810000, 1.000000
12.250185, 1.000000, 0.000002, 9.810000, 1.000000
12.260185, 1.000000, 0.000002, 9.810000, 1.000000
12.270185, 1.000000, 0.000002, 9.810000, 1.000000
